"X" "Y"
"410" 695949.83 5078348.69
"411" 695948.45 5078350.5
"412" 695948.29 5078351.07
"413" 695948.6 5078352.92
"414" 695947.52 5078353.63
"415" 695947.73 5078354.24
"416" 695947.31 5078355.63
"417" 695946.71 5078357.58
"418" 695946.87 5078358.63
"419" 695945.53 5078360.33
"420" 695945.7 5078361.05
"421" 695946.29 5078359.03
"422" 695947.01 5078356.61
"423" 695948.92 5078353.38
"424" 695949.57 5078349.57
"425" 695950.57 5078346.16
"426" 695951.45 5078343.29
"427" 695951.71 5078342.34
"428" 695952.68 5078339.11
"429" 695953.58 5078336.09
"430" 695953.4 5078335.2
"431" 695954.33 5078333.41
"432" 695954.63 5078334.21
"433" 695953.56 5078337.81
"434" 695952.19 5078340.75
"435" 695952.33 5078341.87
"436" 695951.18 5078344.2
"437" 695950.07 5078347.92
"438" 695949.32 5078350.46
"439" 695949.37 5078351.86
"440" 695948.47 5078354.82
"441" 695947.52 5078357.92
"442" 695947.39 5078358.38
"443" 695946.9 5078360.05
"444" 695946.16 5078361.13
"445" 695947.19 5078359.04
"446" 695948.72 5078356.21
"447" 695948.96 5078355.87
"448" 695949.93 5078352.25
"449" 695950.18 5078349.08
"450" 695950.97 5078348.67
"451" 695951.47 5078346.98
"452" 695951.8 5078345.92
"453" 695952.17 5078342.41
"454" 695953.13 5078339.24
"455" 695953.39 5078338.37
"456" 695954.14 5078336.05
"457" 695954.99 5078335.25
"458" 695955.43 5078333.69
"459" 695955.06 5078334.98
"460" 695954.23 5078337.88
"461" 695954.09 5078338.21
"462" 695953.44 5078340.42
"463" 695953.1 5078341.5
"464" 695952.79 5078343.19
"465" 695952.35 5078344.13
"466" 695952.02 5078345.21
"467" 695951.37 5078347.36
"468" 695951.07 5078348.9
"469" 695950.63 5078350.33
"470" 695950.89 5078351.96
"471" 695949.64 5078353.71
"472" 695949.43 5078354.38
"473" 695949.76 5078355.73
"474" 695948.22 5078357.85
"475" 695948.01 5078358.59
"476" 695947.56 5078360.13
"477" 695947.1 5078361.74
"478" 695950.74 5078352.48
"479" 695953.05 5078342.32
"480" 695954.52 5078339.79
"481" 695955.95 5078335.06
"482" 695956.14 5078334.41
"483" 695955.56 5078336.5
"484" 695955.39 5078337.07
"485" 695955.05 5078338.21
"486" 695954.18 5078340.92
"487" 695954.68 5078341.75
"488" 695953.7 5078343.87
"489" 695953.61 5078344.15
"490" 695952.87 5078346.63
"491" 695952.55 5078347.67
"492" 695952.02 5078348.19
"493" 695951.85 5078349.98
"494" 695951.28 5078350.66
"495" 695951.82 5078351.3
"496" 695950.79 5078353.58
"497" 695950.76 5078354.84
"498" 695949.84 5078356.67
"499" 695949.45 5078357.88
"500" 695949.14 5078358.92
"501" 695948.66 5078359.37
"502" 695948.3 5078360.61
"503" 695948.52 5078361.03
"504" 695949.22 5078359.94
"505" 695950.83 5078356.46
"506" 695950.67 5078355.09
"507" 695951.52 5078352.33
"508" 695952.48 5078349.12
"509" 695953.93 5078346.28
"510" 695953.11 5078345.82
"511" 695954.52 5078342.32
"512" 695955.95 5078339.62
"513" 695956.96 5078336.38
"514" 695956.62 5078335.37
"515" 695956.12 5078337.13
"516" 695955.09 5078340.36
"517" 695954.77 5078343.52
"518" 695953.08 5078347.12
"519" 695952.72 5078350.25
"520" 695951.2 5078353.36
"521" 695950.67 5078357.04
"522" 695949.72 5078360.17
"523" 695949.98 5078361.04
"524" 695950.33 5078359.85
"525" 695950.16 5078358.71
"526" 695951.95 5078355.67
"527" 695951.28 5078355
"528" 695952.6 5078352.36
"529" 695952.97 5078351.09
"530" 695953.74 5078349.81
"531" 695953.65 5078348.85
"532" 695954.24 5078346.87
"533" 695954.19 5078345.45
"534" 695954.52 5078344.34
"535" 695955.59 5078342.32
"536" 695955.29 5078341.75
"537" 695956.41 5078339.67
"538" 695956.42 5078338.28
"539" 695957.43 5078336.41
"540" 695957.33 5078335.09
"541" 695957.42 5078334.82
"542" 695957.47 5078337.66
"543" 695956.45 5078340.86
"544" 695955.34 5078343.17
"545" 695955.89 5078344.59
"546" 695954.15 5078347.13
"547" 695953.67 5078350.1
"548" 695952.46 5078353.99
"549" 695952.18 5078354.91
"550" 695951.77 5078356.25
"551" 695951.95 5078357.46
"552" 695950.18 5078360.38
"553" 695950.32 5078361.15
"554" 695951.76 5078358.13
"555" 695952.02 5078355.42
"556" 695953.03 5078352.2
"557" 695953.93 5078351.02
"558" 695954.55 5078348.96
"559" 695955.02 5078345.63
"560" 695956.04 5078342.21
"561" 695956.36 5078341.13
"562" 695957.99 5078339.44
"563" 695957.82 5078338.36
"564" 695958.57 5078335.67
"565" 695959 5078336.15
"566" 695958.51 5078337.71
"567" 695957.88 5078340.79
"568" 695956.31 5078343.12
"569" 695956.84 5078344.27
"570" 695955.7 5078346.94
"571" 695955.9 5078347.34
"572" 695954.77 5078349.96
"573" 695954.95 5078350.44
"574" 695953.04 5078353.9
"575" 695952.32 5078356.25
"576" 695952.05 5078357.13
"577" 695951.3 5078359.73
"578" 695951.85 5078360.62
"579" 695951.4 5078361.03
"580" 695952.29 5078358.08
"581" 695953.03 5078355.61
"582" 695953.6 5078354.88
"583" 695954.44 5078352.12
"584" 695954.61 5078351.54
"585" 695955.8 5078349.5
"586" 695955.14 5078348.79
"587" 695956.21 5078345.3
"588" 695957.01 5078342.63
"589" 695957.24 5078341.88
"590" 695958.47 5078338.83
"591" 695959.19 5078336.6
"592" 695959.32 5078337.98
"593" 695958.83 5078339.55
"594" 695958.49 5078340.65
"595" 695957.01 5078343.74
"596" 695956.06 5078346.84
"597" 695955.05 5078350.11
"598" 695954.04 5078353.46
"599" 695953.2 5078356.11
"600" 695952.6 5078359.94
"601" 695952.15 5078361.38
"602" 695952.43 5078360.52
"603" 695953.85 5078358.78
"604" 695953.4 5078357.31
"605" 695954.01 5078355.28
"606" 695954.17 5078354.78
"607" 695955.03 5078352.03
"608" 695955.2 5078351.44
"609" 695956.07 5078348.66
"610" 695956.39 5078347.62
"611" 695957.15 5078345.19
"612" 695957.26 5078344.79
"613" 695958.93 5078342.25
"614" 695958.61 5078341.94
"615" 695959.09 5078338.71
"616" 695960.29 5078337.83
"617" 695959.74 5078339.49
"618" 695959.96 5078340.74
"619" 695958.06 5078343.85
"620" 695957.55 5078346.77
"621" 695957.94 5078347.54
"622" 695956.82 5078349.11
"623" 695956.31 5078350.75
"624" 695955.25 5078353.04
"625" 695954.55 5078356.48
"626" 695953.74 5078359.09
"627" 695953.07 5078360.16
"628" 695953.14 5078361.1
"629" 695954.49 5078358.71
"630" 695954.76 5078357.87
"631" 695955.2 5078354.42
"632" 695956.07 5078351.5
"633" 695957.02 5078348.45
"634" 695958.49 5078345.74
"635" 695958.39 5078344.05
"636" 695959.23 5078341.13
"637" 695960.89 5078339
"638" 695960.3 5078339.67
"639" 695960.49 5078340.24
"640" 695959.95 5078342
"641" 695959.26 5078343.16
"642" 695958.49 5078346.86
"643" 695958.27 5078347.61
"644" 695957.32 5078349.54
"645" 695957.95 5078350.5
"646" 695956.29 5078352.88
"647" 695956.2 5078353.17
"648" 695955.44 5078355.66
"649" 695955.11 5078356.7
"650" 695954.52 5078359.7
"651" 695954.02 5078360.33
"652" 695955.95 5078358.12
"653" 695955.14 5078357.67
"654" 695956.58 5078354.88
"655" 695957.98 5078351.74
"656" 695958.47 5078348.75
"657" 695959.57 5078345.3
"658" 695959.91 5078344.12
"659" 695960.98 5078341.81
"660" 695961.03 5078338.65
"661" 695961.57 5078339.98
"662" 695961.87 5078340.9
"663" 695960.9 5078342.1
"664" 695960.62 5078343.05
"665" 695959.05 5078346.98
"666" 695958.4 5078349.05
"667" 695958.04 5078350.24
"668" 695957.73 5078352.42
"669" 695957.29 5078353.82
"670" 695956.9 5078355.06
"671" 695956.46 5078356.46
"672" 695955.29 5078359.08
"673" 695955.36 5078360.02
"674" 695956.03 5078357.86
"675" 695957.72 5078354.42
"676" 695958.99 5078351.86
"677" 695959.04 5078348.25
"678" 695959.13 5078347.91
"679" 695960.9 5078344.16
"680" 695961.62 5078341.67
"681" 695962.35 5078340.94
"682" 695961.45 5078342.25
"683" 695961.64 5078343.17
"684" 695960.44 5078345.8
"685" 695960.2 5078346.54
"686" 695959.36 5078349.31
"687" 695959.77 5078350.75
"688" 695958.71 5078352.69
"689" 695958.9 5078353.41
"690" 695957.38 5078355.59
"691" 695957.11 5078356.45
"692" 695956.58 5078358.15
"693" 695956.32 5078359.04
"694" 695957.28 5078358.71
"695" 695957.1 5078357.88
"696" 695958.97 5078354.75
"697" 695959.95 5078351.79
"698" 695960.11 5078348.35
"699" 695960.86 5078347.29
"700" 695961.61 5078344.69
"701" 695962.09 5078341.74
"702" 695962.32 5078342.34
"703" 695962.07 5078343.17
"704" 695961.39 5078345.6
"705" 695961.74 5078346.17
"706" 695960.85 5078349.2
"707" 695960.28 5078350.91
"708" 695959.07 5078352.91
"709" 695958.77 5078355.48
"710" 695958.56 5078356.17
"711" 695957.17 5078359.11
"712" 695958.65 5078357.54
"713" 695959.91 5078354.35
"714" 695959.73 5078353.94
"715" 695960.1 5078351.32
"716" 695961.2 5078348.04
"717" 695961.46 5078347.08
"718" 695962.03 5078345.1
"719" 695962.32 5078344.13
"720" 695963.02 5078343.53
"721" 695962.18 5078346.42
"722" 695961.39 5078349.08
"723" 695961.37 5078350.13
"724" 695960.39 5078352.92
"725" 695960.07 5078353.84
"726" 695959.7 5078355.06
"727" 695959.98 5078356.38
"728" 695958.52 5078358
"729" 695961.09 5078351.03
"730" 695962.27 5078347.2
"731" 695963.05 5078344.77
"732" 695963.35 5078345.63
"733" 695963.13 5078346.59
"734" 695962.59 5078348.3
"735" 695962.57 5078349.84
"736" 695962.47 5078350.13
"737" 695961.07 5078352.88
"738" 695960.49 5078354.66
"739" 695960.29 5078355.31
"740" 695961.07 5078354.27
"741" 695961.21 5078353.82
"742" 695962.47 5078351.77
"743" 695963.48 5078348.4
"744" 695963.15 5078347.94
"745" 695963.07 5078349.75
"746" 695962.29 5078352.34
